team,link,season
Arminia Bielefeld,/arminia-bielefeld/spielplan/verein/10/saison_id/,2024
VfB Stuttgart,/vfb-stuttgart/spielplan/verein/79/saison_id/,2024
Bayer 04 Leverkusen,/bayer-04-leverkusen/spielplan/verein/15/saison_id/,2024
RB Leipzig,/rasenballsport-leipzig/spielplan/verein/23826/saison_id/,2024
FC Augsburg,/fc-augsburg/spielplan/verein/167/saison_id/,2024
1.FC Köln,/1-fc-koln/spielplan/verein/3/saison_id/,2024
SV Werder Bremen,/sv-werder-bremen/spielplan/verein/86/saison_id/,2024
VfL Wolfsburg,/vfl-wolfsburg/spielplan/verein/82/saison_id/,2024
SC Freiburg,/sc-freiburg/spielplan/verein/60/saison_id/,2024
SSV Jahn Regensburg,/ssv-jahn-regensburg/spielplan/verein/109/saison_id/,2024
FC Bayern München,/fc-bayern-munchen/spielplan/verein/27/saison_id/,2024
SV Darmstadt 98,/sv-darmstadt-98/spielplan/verein/105/saison_id/,2024
Hertha BSC,/hertha-bsc/spielplan/verein/44/saison_id/,2024
TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/spielplan/verein/533/saison_id/,2024
Eintracht Frankfurt,/eintracht-frankfurt/spielplan/verein/24/saison_id/,2024
Karlsruher SC,/karlsruher-sc/spielplan/verein/48/saison_id/,2024
Kickers Offenbach,/kickers-offenbach/spielplan/verein/107/saison_id/,2024
FC Schalke 04,/fc-schalke-04/spielplan/verein/33/saison_id/,2024
SV 07 Elversberg,/sv-07-elversberg/spielplan/verein/64/saison_id/,2024
FC St. Pauli,/fc-st-pauli/spielplan/verein/35/saison_id/,2024
1.FC Kaiserslautern,/1-fc-kaiserslautern/spielplan/verein/2/saison_id/,2024
SpVgg Greuther Fürth,/spvgg-greuther-furth/spielplan/verein/65/saison_id/,2024
Borussia Dortmund,/borussia-dortmund/spielplan/verein/16/saison_id/,2024
Holstein Kiel,/holstein-kiel/spielplan/verein/269/saison_id/,2024
Hamburger SV,/hamburger-sv/spielplan/verein/41/saison_id/,2024
1.FC Heidenheim 1846,/1-fc-heidenheim-1846/spielplan/verein/2036/saison_id/,2024
Borussia Mönchengladbach,/borussia-monchengladbach/spielplan/verein/18/saison_id/,2024
SC Paderborn 07,/sc-paderborn-07/spielplan/verein/127/saison_id/,2024
1.FC Union Berlin,/1-fc-union-berlin/spielplan/verein/89/saison_id/,2024
SG Dynamo Dresden,/sg-dynamo-dresden/spielplan/verein/129/saison_id/,2024
1.FSV Mainz 05,/1-fsv-mainz-05/spielplan/verein/39/saison_id/,2024
1.FC Nürnberg,/1-fc-nurnberg/spielplan/verein/4/saison_id/,2024
Hallescher FC,/hallescher-fc/spielplan/verein/440/saison_id/,2024
Würzburger Kickers,/wurzburger-kickers/spielplan/verein/1557/saison_id/,2024
SV Wehen Wiesbaden,/sv-wehen-wiesbaden/spielplan/verein/108/saison_id/,2024
SSV Ulm 1846,/ssv-ulm-1846/spielplan/verein/69/saison_id/,2024
TSV Schott Mainz,/tsv-schott-mainz/spielplan/verein/9695/saison_id/,2024
FC Erzgebirge Aue,/fc-erzgebirge-aue/spielplan/verein/94/saison_id/,2024
VfL Osnabrück,/vfl-osnabruck/spielplan/verein/81/saison_id/,2024
VfR Aalen,/vfr-aalen/spielplan/verein/83/saison_id/,2024
FC 08 Villingen,/fc-08-villingen/spielplan/verein/951/saison_id/,2024
Greifswalder FC,/greifswalder-fc/spielplan/verein/48991/saison_id/,2024
Rot-Weiss Essen,/rot-weiss-essen/spielplan/verein/56/saison_id/,2024
FC Ingolstadt 04,/fc-ingolstadt-04/spielplan/verein/4795/saison_id/,2024
Alemannia Aachen,/alemannia-aachen/spielplan/verein/8/saison_id/,2024
Hannover 96,/hannover-96/spielplan/verein/42/saison_id/,2024
1.FC Phönix Lübeck,/1-fc-phonix-lubeck/spielplan/verein/2773/saison_id/,2024
1.FC Saarbrücken,/1-fc-saarbrucken/spielplan/verein/1/saison_id/,2024
FC Viktoria 1889 Berlin,/fc-viktoria-1889-berlin/spielplan/verein/40373/saison_id/,2024
Bremer SV,/bremer-sv/spielplan/verein/1328/saison_id/,2024
VfL Bochum,/vfl-bochum/spielplan/verein/80/saison_id/,2024
FC Hansa Rostock,/fc-hansa-rostock/spielplan/verein/30/saison_id/,2024
FC Teutonia 05 Ottensen,/fc-teutonia-05-ottensen/spielplan/verein/14361/saison_id/,2024
VfV Borussia 06 Hildesheim,/vfv-borussia-06-hildesheim/spielplan/verein/2540/saison_id/,2024
SV Sandhausen,/sv-sandhausen/spielplan/verein/254/saison_id/,2024
Fortuna Düsseldorf,/fortuna-dusseldorf/spielplan/verein/38/saison_id/,2024
SV Meppen,/sv-meppen/spielplan/verein/247/saison_id/,2024
Sportfreunde Lotte,/sportfreunde-lotte/spielplan/verein/668/saison_id/,2024
1.FC Magdeburg,/1-fc-magdeburg/spielplan/verein/187/saison_id/,2024
TuS Koblenz,/tus-koblenz/spielplan/verein/996/saison_id/,2024
FC Energie Cottbus,/fc-energie-cottbus/spielplan/verein/25/saison_id/,2024
Eintracht Braunschweig,/eintracht-braunschweig/spielplan/verein/23/saison_id/,2024
Preußen Münster,/preussen-munster/spielplan/verein/91/saison_id/,2024
FC Carl Zeiss Jena,/fc-carl-zeiss-jena/spielplan/verein/113/saison_id/,2024
