team,link,season
Eintracht Frankfurt,/eintracht-frankfurt/spielplan/verein/24/saison_id/,2016
Borussia Dortmund,/borussia-dortmund/spielplan/verein/16/saison_id/,2016
Borussia Mönchengladbach,/borussia-monchengladbach/spielplan/verein/18/saison_id/,2016
FC Bayern München,/fc-bayern-munchen/spielplan/verein/27/saison_id/,2016
Arminia Bielefeld,/arminia-bielefeld/spielplan/verein/10/saison_id/,2016
Hamburger SV,/hamburger-sv/spielplan/verein/41/saison_id/,2016
FC Schalke 04,/fc-schalke-04/spielplan/verein/33/saison_id/,2016
Sportfreunde Lotte,/sportfreunde-lotte/spielplan/verein/668/saison_id/,2016
FC-Astoria Walldorf,/fc-astoria-walldorf/spielplan/verein/1348/saison_id/,2016
1.FC Köln,/1-fc-koln/spielplan/verein/3/saison_id/,2016
SpVgg Greuther Fürth,/spvgg-greuther-furth/spielplan/verein/65/saison_id/,2016
VfL Wolfsburg,/vfl-wolfsburg/spielplan/verein/82/saison_id/,2016
SV Sandhausen,/sv-sandhausen/spielplan/verein/254/saison_id/,2016
TSV 1860 München,/tsv-1860-munchen/spielplan/verein/72/saison_id/,2016
Hannover 96,/hannover-96/spielplan/verein/42/saison_id/,2016
Hertha BSC,/hertha-bsc/spielplan/verein/44/saison_id/,2016
Würzburger Kickers,/wurzburger-kickers/spielplan/verein/1557/saison_id/,2016
SC Freiburg,/sc-freiburg/spielplan/verein/60/saison_id/,2016
SG Dynamo Dresden,/sg-dynamo-dresden/spielplan/verein/129/saison_id/,2016
Bayer 04 Leverkusen,/bayer-04-leverkusen/spielplan/verein/15/saison_id/,2016
VfB Stuttgart,/vfb-stuttgart/spielplan/verein/79/saison_id/,2016
FC St. Pauli,/fc-st-pauli/spielplan/verein/35/saison_id/,2016
Hallescher FC,/hallescher-fc/spielplan/verein/440/saison_id/,2016
FC Ingolstadt 04,/fc-ingolstadt-04/spielplan/verein/4795/saison_id/,2016
1.FSV Mainz 05,/1-fsv-mainz-05/spielplan/verein/39/saison_id/,2016
1.FC Heidenheim 1846,/1-fc-heidenheim-1846/spielplan/verein/2036/saison_id/,2016
SV Darmstadt 98,/sv-darmstadt-98/spielplan/verein/105/saison_id/,2016
Fortuna Düsseldorf,/fortuna-dusseldorf/spielplan/verein/38/saison_id/,2016
FC Augsburg,/fc-augsburg/spielplan/verein/167/saison_id/,2016
1.FC Nürnberg,/1-fc-nurnberg/spielplan/verein/4/saison_id/,2016
TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/spielplan/verein/533/saison_id/,2016
1.FC Union Berlin,/1-fc-union-berlin/spielplan/verein/89/saison_id/,2016
FV Ravensburg,/fv-ravensburg/spielplan/verein/10780/saison_id/,2016
VfB Lübeck,/vfb-lubeck/spielplan/verein/78/saison_id/,2016
FC Carl Zeiss Jena,/fc-carl-zeiss-jena/spielplan/verein/113/saison_id/,2016
Eintracht Braunschweig,/eintracht-braunschweig/spielplan/verein/23/saison_id/,2016
1.FC Kaiserslautern,/1-fc-kaiserslautern/spielplan/verein/2/saison_id/,2016
RB Leipzig,/rasenballsport-leipzig/spielplan/verein/23826/saison_id/,2016
SV Babelsberg 03,/sv-babelsberg-03/spielplan/verein/90/saison_id/,2016
BFC Preussen,/bfc-preussen/spielplan/verein/4700/saison_id/,2016
SV Drochtersen/Assel,/sv-drochtersen-assel/spielplan/verein/10213/saison_id/,2016
FC Viktoria Köln,/fc-viktoria-koln/spielplan/verein/1622/saison_id/,2016
FC 08 Villingen,/fc-08-villingen/spielplan/verein/951/saison_id/,2016
Rot-Weiss Essen,/rot-weiss-essen/spielplan/verein/56/saison_id/,2016
FC 08 Homburg,/fc-08-homburg/spielplan/verein/459/saison_id/,2016
FC Hansa Rostock,/fc-hansa-rostock/spielplan/verein/30/saison_id/,2016
Karlsruher SC,/karlsruher-sc/spielplan/verein/48/saison_id/,2016
FSV Frankfurt,/fsv-frankfurt/spielplan/verein/293/saison_id/,2016
SV Werder Bremen,/sv-werder-bremen/spielplan/verein/86/saison_id/,2016
1.FC Magdeburg,/1-fc-magdeburg/spielplan/verein/187/saison_id/,2016
SpVgg Unterhaching,/spvgg-unterhaching/spielplan/verein/66/saison_id/,2016
1.FC Germania Egestorf/Langreder,/1-fc-germania-egestorf-langreder/spielplan/verein/10381/saison_id/,2016
SC Hauenstein,/sc-hauenstein/spielplan/verein/2162/saison_id/,2016
MSV Duisburg,/msv-duisburg/spielplan/verein/52/saison_id/,2016
Eintracht Norderstedt,/eintracht-norderstedt/spielplan/verein/117/saison_id/,2016
VfL Bochum,/vfl-bochum/spielplan/verein/80/saison_id/,2016
Bremer SV,/bremer-sv/spielplan/verein/1328/saison_id/,2016
FC Erzgebirge Aue,/fc-erzgebirge-aue/spielplan/verein/94/saison_id/,2016
SG Wattenscheid 09,/sg-wattenscheid-09/spielplan/verein/97/saison_id/,2016
SSV Jahn Regensburg,/ssv-jahn-regensburg/spielplan/verein/109/saison_id/,2016
FSV Zwickau,/fsv-zwickau/spielplan/verein/275/saison_id/,2016
Kickers Offenbach,/kickers-offenbach/spielplan/verein/107/saison_id/,2016
SC Paderborn 07,/sc-paderborn-07/spielplan/verein/127/saison_id/,2016
SV Eintracht Trier 05,/sv-eintracht-trier-05/spielplan/verein/104/saison_id/,2016
