team,link,season
Borussia Dortmund,/borussia-dortmund/spielplan/verein/16/saison_id/,2014
VfL Wolfsburg,/vfl-wolfsburg/spielplan/verein/82/saison_id/,2014
FC Bayern München,/fc-bayern-munchen/spielplan/verein/27/saison_id/,2014
Arminia Bielefeld,/arminia-bielefeld/spielplan/verein/10/saison_id/,2014
SC Freiburg,/sc-freiburg/spielplan/verein/60/saison_id/,2014
TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/spielplan/verein/533/saison_id/,2014
Borussia Mönchengladbach,/borussia-monchengladbach/spielplan/verein/18/saison_id/,2014
Bayer 04 Leverkusen,/bayer-04-leverkusen/spielplan/verein/15/saison_id/,2014
VfR Aalen,/vfr-aalen/spielplan/verein/83/saison_id/,2014
1.FC Kaiserslautern,/1-fc-kaiserslautern/spielplan/verein/2/saison_id/,2014
SG Dynamo Dresden,/sg-dynamo-dresden/spielplan/verein/129/saison_id/,2014
1.FC Köln,/1-fc-koln/spielplan/verein/3/saison_id/,2014
SV Werder Bremen,/sv-werder-bremen/spielplan/verein/86/saison_id/,2014
RB Leipzig,/rasenballsport-leipzig/spielplan/verein/23826/saison_id/,2014
Eintracht Braunschweig,/eintracht-braunschweig/spielplan/verein/23/saison_id/,2014
Kickers Offenbach,/kickers-offenbach/spielplan/verein/107/saison_id/,2014
Hannover 96,/hannover-96/spielplan/verein/42/saison_id/,2014
Chemnitzer FC,/chemnitzer-fc/spielplan/verein/21/saison_id/,2014
Karlsruher SC,/karlsruher-sc/spielplan/verein/48/saison_id/,2014
Hertha BSC,/hertha-bsc/spielplan/verein/44/saison_id/,2014
FC St. Pauli,/fc-st-pauli/spielplan/verein/35/saison_id/,2014
SpVgg Greuther Fürth,/spvgg-greuther-furth/spielplan/verein/65/saison_id/,2014
VfL Bochum,/vfl-bochum/spielplan/verein/80/saison_id/,2014
MSV Duisburg,/msv-duisburg/spielplan/verein/52/saison_id/,2014
1.FC Magdeburg,/1-fc-magdeburg/spielplan/verein/187/saison_id/,2014
Würzburger Kickers,/wurzburger-kickers/spielplan/verein/1557/saison_id/,2014
TSV 1860 München,/tsv-1860-munchen/spielplan/verein/72/saison_id/,2014
FC Erzgebirge Aue,/fc-erzgebirge-aue/spielplan/verein/94/saison_id/,2014
Hamburger SV,/hamburger-sv/spielplan/verein/41/saison_id/,2014
FSV Frankfurt,/fsv-frankfurt/spielplan/verein/293/saison_id/,2014
1.FC Heidenheim 1846,/1-fc-heidenheim-1846/spielplan/verein/2036/saison_id/,2014
Eintracht Frankfurt,/eintracht-frankfurt/spielplan/verein/24/saison_id/,2014
1.FSV Mainz 05,/1-fsv-mainz-05/spielplan/verein/39/saison_id/,2014
SV Alemannia Waldalgesheim,/sv-alemannia-waldalgesheim/spielplan/verein/5446/saison_id/,2014
1.FC Nürnberg,/1-fc-nurnberg/spielplan/verein/4/saison_id/,2014
SV Waldkirch,/sv-waldkirch/spielplan/verein/9487/saison_id/,2014
FC 08 Homburg,/fc-08-homburg/spielplan/verein/459/saison_id/,2014
FSV Optik Rathenow,/fsv-optik-rathenow/spielplan/verein/562/saison_id/,2014
Bremer SV,/bremer-sv/spielplan/verein/1328/saison_id/,2014
VfB Stuttgart,/vfb-stuttgart/spielplan/verein/79/saison_id/,2014
FC Viktoria Köln,/fc-viktoria-koln/spielplan/verein/1622/saison_id/,2014
Stuttgarter Kickers,/stuttgarter-kickers/spielplan/verein/71/saison_id/,2014
FT Braunschweig,/ft-braunschweig/spielplan/verein/5460/saison_id/,2014
FC-Astoria Walldorf,/fc-astoria-walldorf/spielplan/verein/1348/saison_id/,2014
SV Wehen Wiesbaden,/sv-wehen-wiesbaden/spielplan/verein/108/saison_id/,2014
BFC Viktoria 89 (- 2013),/bfc-viktoria-89/spielplan/verein/10968/saison_id/,2014
Sportfreunde Siegen,/sportfreunde-siegen/spielplan/verein/63/saison_id/,2014
FV Illertissen,/fv-illertissen/spielplan/verein/1468/saison_id/,2014
USC Paloma Hamburg,/usc-paloma-hamburg/spielplan/verein/6150/saison_id/,2014
BSV Schwarz-Weiß Rehden,/bsv-schwarz-weiss-rehden/spielplan/verein/5560/saison_id/,2014
Holstein Kiel,/holstein-kiel/spielplan/verein/269/saison_id/,2014
FC Carl Zeiss Jena,/fc-carl-zeiss-jena/spielplan/verein/113/saison_id/,2014
1.FC Neubrandenburg 04,/1-fc-neubrandenburg-04/spielplan/verein/1279/saison_id/,2014
SV Sandhausen,/sv-sandhausen/spielplan/verein/254/saison_id/,2014
Preußen Münster,/preussen-munster/spielplan/verein/91/saison_id/,2014
Fortuna Düsseldorf,/fortuna-dusseldorf/spielplan/verein/38/saison_id/,2014
SV Eintracht Trier 05,/sv-eintracht-trier-05/spielplan/verein/104/saison_id/,2014
FC Augsburg,/fc-augsburg/spielplan/verein/167/saison_id/,2014
SC Paderborn 07,/sc-paderborn-07/spielplan/verein/127/saison_id/,2014
SV Darmstadt 98,/sv-darmstadt-98/spielplan/verein/105/saison_id/,2014
1.FC Union Berlin,/1-fc-union-berlin/spielplan/verein/89/saison_id/,2014
FC Ingolstadt 04,/fc-ingolstadt-04/spielplan/verein/4795/saison_id/,2014
FC Energie Cottbus,/fc-energie-cottbus/spielplan/verein/25/saison_id/,2014
FC Schalke 04,/fc-schalke-04/spielplan/verein/33/saison_id/,2014
