team,link,season
SC Freiburg,/sc-freiburg/spielplan/verein/60/saison_id/,2021
RB Leipzig,/rasenballsport-leipzig/spielplan/verein/23826/saison_id/,2021
Hamburger SV,/hamburger-sv/spielplan/verein/41/saison_id/,2021
1.FC Union Berlin,/1-fc-union-berlin/spielplan/verein/89/saison_id/,2021
FC St. Pauli,/fc-st-pauli/spielplan/verein/35/saison_id/,2021
Hannover 96,/hannover-96/spielplan/verein/42/saison_id/,2021
Karlsruher SC,/karlsruher-sc/spielplan/verein/48/saison_id/,2021
VfL Bochum,/vfl-bochum/spielplan/verein/80/saison_id/,2021
1.FC Köln,/1-fc-koln/spielplan/verein/3/saison_id/,2021
TSV 1860 München,/tsv-1860-munchen/spielplan/verein/72/saison_id/,2021
1.FSV Mainz 05,/1-fsv-mainz-05/spielplan/verein/39/saison_id/,2021
Borussia Dortmund,/borussia-dortmund/spielplan/verein/16/saison_id/,2021
FC Hansa Rostock,/fc-hansa-rostock/spielplan/verein/30/saison_id/,2021
Borussia Mönchengladbach,/borussia-monchengladbach/spielplan/verein/18/saison_id/,2021
Hertha BSC,/hertha-bsc/spielplan/verein/44/saison_id/,2021
TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/spielplan/verein/533/saison_id/,2021
Holstein Kiel,/holstein-kiel/spielplan/verein/269/saison_id/,2021
Preußen Münster,/preussen-munster/spielplan/verein/91/saison_id/,2021
FC Schalke 04,/fc-schalke-04/spielplan/verein/33/saison_id/,2021
SV Babelsberg 03,/sv-babelsberg-03/spielplan/verein/90/saison_id/,2021
FC Ingolstadt 04,/fc-ingolstadt-04/spielplan/verein/4795/saison_id/,2021
Arminia Bielefeld,/arminia-bielefeld/spielplan/verein/10/saison_id/,2021
1.FC Nürnberg,/1-fc-nurnberg/spielplan/verein/4/saison_id/,2021
VfL Osnabrück,/vfl-osnabruck/spielplan/verein/81/saison_id/,2021
SG Dynamo Dresden,/sg-dynamo-dresden/spielplan/verein/129/saison_id/,2021
FC Augsburg,/fc-augsburg/spielplan/verein/167/saison_id/,2021
Bayer 04 Leverkusen,/bayer-04-leverkusen/spielplan/verein/15/saison_id/,2021
SV Waldhof Mannheim,/sv-waldhof-mannheim/spielplan/verein/85/saison_id/,2021
VfB Stuttgart,/vfb-stuttgart/spielplan/verein/79/saison_id/,2021
SSV Jahn Regensburg,/ssv-jahn-regensburg/spielplan/verein/109/saison_id/,2021
FC Bayern München,/fc-bayern-munchen/spielplan/verein/27/saison_id/,2021
Fortuna Düsseldorf,/fortuna-dusseldorf/spielplan/verein/38/saison_id/,2021
SV Darmstadt 98,/sv-darmstadt-98/spielplan/verein/105/saison_id/,2021
SC Paderborn 07,/sc-paderborn-07/spielplan/verein/127/saison_id/,2021
SV Werder Bremen,/sv-werder-bremen/spielplan/verein/86/saison_id/,2021
BFC Dynamo,/bfc-dynamo/spielplan/verein/222/saison_id/,2021
Greifswalder FC,/greifswalder-fc/spielplan/verein/48991/saison_id/,2021
SpVgg Bayreuth,/spvgg-bayreuth/spielplan/verein/752/saison_id/,2021
SV Sandhausen,/sv-sandhausen/spielplan/verein/254/saison_id/,2021
Eintracht Norderstedt,/eintracht-norderstedt/spielplan/verein/117/saison_id/,2021
1. FC Lokomotive Leipzig,/1-fc-lokomotive-leipzig/spielplan/verein/497/saison_id/,2021
SC Weiche Flensburg 08,/sc-weiche-flensburg-08/spielplan/verein/10284/saison_id/,2021
Wuppertaler SV,/wuppertaler-sv/spielplan/verein/299/saison_id/,2021
1.FC Magdeburg,/1-fc-magdeburg/spielplan/verein/187/saison_id/,2021
SSV Ulm 1846,/ssv-ulm-1846/spielplan/verein/69/saison_id/,2021
SpVgg Greuther Fürth,/spvgg-greuther-furth/spielplan/verein/65/saison_id/,2021
SV Wehen Wiesbaden,/sv-wehen-wiesbaden/spielplan/verein/108/saison_id/,2021
FC Rot-Weiß Koblenz,/tus-rot-weiss-koblenz/spielplan/verein/22327/saison_id/,2021
VfL Wolfsburg,/vfl-wolfsburg/spielplan/verein/82/saison_id/,2021
VfL Oldenburg,/vfl-oldenburg/spielplan/verein/6128/saison_id/,2021
Türkgücü München,/turkgucu-munchen/spielplan/verein/12456/saison_id/,2021
Eintracht Frankfurt,/eintracht-frankfurt/spielplan/verein/24/saison_id/,2021
FC 08 Villingen,/fc-08-villingen/spielplan/verein/951/saison_id/,2021
SV Meppen,/sv-meppen/spielplan/verein/247/saison_id/,2021
SV 07 Elversberg,/sv-07-elversberg/spielplan/verein/64/saison_id/,2021
FC Carl Zeiss Jena,/fc-carl-zeiss-jena/spielplan/verein/113/saison_id/,2021
Würzburger Kickers,/wurzburger-kickers/spielplan/verein/1557/saison_id/,2021
1.FC Heidenheim 1846,/1-fc-heidenheim-1846/spielplan/verein/2036/saison_id/,2021
Eintracht Braunschweig,/eintracht-braunschweig/spielplan/verein/23/saison_id/,2021
Sportfreunde Lotte,/sportfreunde-lotte/spielplan/verein/668/saison_id/,2021
FC Erzgebirge Aue,/fc-erzgebirge-aue/spielplan/verein/94/saison_id/,2021
FC Viktoria Köln,/fc-viktoria-koln/spielplan/verein/1622/saison_id/,2021
1.FC Kaiserslautern,/1-fc-kaiserslautern/spielplan/verein/2/saison_id/,2021
Bremer SV,/bremer-sv/spielplan/verein/1328/saison_id/,2021
