team,link,season
FC Bayern München,/fc-bayern-munchen/spielplan/verein/27/saison_id/,2015
Borussia Dortmund,/borussia-dortmund/spielplan/verein/16/saison_id/,2015
SV Werder Bremen,/sv-werder-bremen/spielplan/verein/86/saison_id/,2015
Hertha BSC,/hertha-bsc/spielplan/verein/44/saison_id/,2015
Bayer 04 Leverkusen,/bayer-04-leverkusen/spielplan/verein/15/saison_id/,2015
VfB Stuttgart,/vfb-stuttgart/spielplan/verein/79/saison_id/,2015
1.FC Heidenheim 1846,/1-fc-heidenheim-1846/spielplan/verein/2036/saison_id/,2015
VfL Bochum,/vfl-bochum/spielplan/verein/80/saison_id/,2015
SpVgg Unterhaching,/spvgg-unterhaching/spielplan/verein/66/saison_id/,2015
Borussia Mönchengladbach,/borussia-monchengladbach/spielplan/verein/18/saison_id/,2015
FC Erzgebirge Aue,/fc-erzgebirge-aue/spielplan/verein/94/saison_id/,2015
SV Darmstadt 98,/sv-darmstadt-98/spielplan/verein/105/saison_id/,2015
1.FC Nürnberg,/1-fc-nurnberg/spielplan/verein/4/saison_id/,2015
Eintracht Braunschweig,/eintracht-braunschweig/spielplan/verein/23/saison_id/,2015
TSV 1860 München,/tsv-1860-munchen/spielplan/verein/72/saison_id/,2015
FC Augsburg,/fc-augsburg/spielplan/verein/167/saison_id/,2015
Eintracht Frankfurt,/eintracht-frankfurt/spielplan/verein/24/saison_id/,2015
1.FSV Mainz 05,/1-fsv-mainz-05/spielplan/verein/39/saison_id/,2015
Fortuna Düsseldorf,/fortuna-dusseldorf/spielplan/verein/38/saison_id/,2015
FSV Frankfurt,/fsv-frankfurt/spielplan/verein/293/saison_id/,2015
RB Leipzig,/rasenballsport-leipzig/spielplan/verein/23826/saison_id/,2015
VfL Wolfsburg,/vfl-wolfsburg/spielplan/verein/82/saison_id/,2015
Hannover 96,/hannover-96/spielplan/verein/42/saison_id/,2015
1.FC Kaiserslautern,/1-fc-kaiserslautern/spielplan/verein/2/saison_id/,2015
SV Sandhausen,/sv-sandhausen/spielplan/verein/254/saison_id/,2015
SC Paderborn 07,/sc-paderborn-07/spielplan/verein/127/saison_id/,2015
SC Freiburg,/sc-freiburg/spielplan/verein/60/saison_id/,2015
FC Viktoria Köln,/fc-viktoria-koln/spielplan/verein/1622/saison_id/,2015
FC Carl Zeiss Jena,/fc-carl-zeiss-jena/spielplan/verein/113/saison_id/,2015
SSV Reutlingen 05,/ssv-reutlingen-05/spielplan/verein/68/saison_id/,2015
FC Schalke 04,/fc-schalke-04/spielplan/verein/33/saison_id/,2015
1.FC Köln,/1-fc-koln/spielplan/verein/3/saison_id/,2015
BFC Dynamo,/bfc-dynamo/spielplan/verein/222/saison_id/,2015
TuS Erndtebrück,/tus-erndtebruck/spielplan/verein/5263/saison_id/,2015
SV 07 Elversberg,/sv-07-elversberg/spielplan/verein/64/saison_id/,2015
Bremer SV,/bremer-sv/spielplan/verein/1328/saison_id/,2015
SpVgg Greuther Fürth,/spvgg-greuther-furth/spielplan/verein/65/saison_id/,2015
Würzburger Kickers,/wurzburger-kickers/spielplan/verein/1557/saison_id/,2015
MSV Duisburg,/msv-duisburg/spielplan/verein/52/saison_id/,2015
Sportfreunde Lotte,/sportfreunde-lotte/spielplan/verein/668/saison_id/,2015
Stuttgarter Kickers,/stuttgarter-kickers/spielplan/verein/71/saison_id/,2015
Hallescher FC,/hallescher-fc/spielplan/verein/440/saison_id/,2015
SV Meppen,/sv-meppen/spielplan/verein/247/saison_id/,2015
1.FC Union Berlin,/1-fc-union-berlin/spielplan/verein/89/saison_id/,2015
TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/spielplan/verein/533/saison_id/,2015
Holstein Kiel,/holstein-kiel/spielplan/verein/269/saison_id/,2015
Karlsruher SC,/karlsruher-sc/spielplan/verein/48/saison_id/,2015
HSV Barmbek-Uhlenhorst,/hsv-barmbek-uhlenhorst/spielplan/verein/1481/saison_id/,2015
Bahlinger SC,/bahlinger-sc/spielplan/verein/1193/saison_id/,2015
Chemnitzer FC,/chemnitzer-fc/spielplan/verein/21/saison_id/,2015
FSV Salmrohr,/fsv-salmrohr/spielplan/verein/442/saison_id/,2015
Hamburger SV,/hamburger-sv/spielplan/verein/41/saison_id/,2015
FC Nöttingen,/fc-nottingen/spielplan/verein/1203/saison_id/,2015
FC Ingolstadt 04,/fc-ingolstadt-04/spielplan/verein/4795/saison_id/,2015
FK Pirmasens,/fk-pirmasens/spielplan/verein/726/saison_id/,2015
Rot-Weiss Essen,/rot-weiss-essen/spielplan/verein/56/saison_id/,2015
VfB Lübeck,/vfb-lubeck/spielplan/verein/78/saison_id/,2015
KSV Hessen Kassel,/ksv-hessen-kassel/spielplan/verein/373/saison_id/,2015
FC Hansa Rostock,/fc-hansa-rostock/spielplan/verein/30/saison_id/,2015
FC Energie Cottbus,/fc-energie-cottbus/spielplan/verein/25/saison_id/,2015
VfR Aalen,/vfr-aalen/spielplan/verein/83/saison_id/,2015
VfL Osnabrück,/vfl-osnabruck/spielplan/verein/81/saison_id/,2015
Arminia Bielefeld,/arminia-bielefeld/spielplan/verein/10/saison_id/,2015
FC St. Pauli,/fc-st-pauli/spielplan/verein/35/saison_id/,2015
