team,link,season
RB Leipzig,/rasenballsport-leipzig/spielplan/verein/23826/saison_id/,2018
FC Bayern München,/fc-bayern-munchen/spielplan/verein/27/saison_id/,2018
Hamburger SV,/hamburger-sv/spielplan/verein/41/saison_id/,2018
SV Werder Bremen,/sv-werder-bremen/spielplan/verein/86/saison_id/,2018
SC Paderborn 07,/sc-paderborn-07/spielplan/verein/127/saison_id/,2018
FC Augsburg,/fc-augsburg/spielplan/verein/167/saison_id/,2018
1.FC Heidenheim 1846,/1-fc-heidenheim-1846/spielplan/verein/2036/saison_id/,2018
FC Schalke 04,/fc-schalke-04/spielplan/verein/33/saison_id/,2018
1.FC Nürnberg,/1-fc-nurnberg/spielplan/verein/4/saison_id/,2018
Bayer 04 Leverkusen,/bayer-04-leverkusen/spielplan/verein/15/saison_id/,2018
Borussia Dortmund,/borussia-dortmund/spielplan/verein/16/saison_id/,2018
MSV Duisburg,/msv-duisburg/spielplan/verein/52/saison_id/,2018
VfL Wolfsburg,/vfl-wolfsburg/spielplan/verein/82/saison_id/,2018
Holstein Kiel,/holstein-kiel/spielplan/verein/269/saison_id/,2018
Hertha BSC,/hertha-bsc/spielplan/verein/44/saison_id/,2018
Fortuna Düsseldorf,/fortuna-dusseldorf/spielplan/verein/38/saison_id/,2018
Hannover 96,/hannover-96/spielplan/verein/42/saison_id/,2018
BSG Chemie Leipzig,/bsg-chemie-leipzig/spielplan/verein/9572/saison_id/,2018
SSV Ulm 1846,/ssv-ulm-1846/spielplan/verein/69/saison_id/,2018
SV Darmstadt 98,/sv-darmstadt-98/spielplan/verein/105/saison_id/,2018
SV Rödinghausen,/sv-rodinghausen/spielplan/verein/26957/saison_id/,2018
SV Wehen Wiesbaden,/sv-wehen-wiesbaden/spielplan/verein/108/saison_id/,2018
SV Sandhausen,/sv-sandhausen/spielplan/verein/254/saison_id/,2018
1.FSV Mainz 05,/1-fsv-mainz-05/spielplan/verein/39/saison_id/,2018
1.FC Köln,/1-fc-koln/spielplan/verein/3/saison_id/,2018
FC Hansa Rostock,/fc-hansa-rostock/spielplan/verein/30/saison_id/,2018
SC Weiche Flensburg 08,/sc-weiche-flensburg-08/spielplan/verein/10284/saison_id/,2018
1.FC Union Berlin,/1-fc-union-berlin/spielplan/verein/89/saison_id/,2018
TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/spielplan/verein/533/saison_id/,2018
Arminia Bielefeld,/arminia-bielefeld/spielplan/verein/10/saison_id/,2018
SC Freiburg,/sc-freiburg/spielplan/verein/60/saison_id/,2018
Borussia Mönchengladbach,/borussia-monchengladbach/spielplan/verein/18/saison_id/,2018
1.FC Schweinfurt 05,/1-fc-schweinfurt-05/spielplan/verein/103/saison_id/,2018
FC St. Pauli,/fc-st-pauli/spielplan/verein/35/saison_id/,2018
1.FC Magdeburg,/1-fc-magdeburg/spielplan/verein/187/saison_id/,2018
VfR Wormatia Worms,/vfr-wormatia-worms/spielplan/verein/158/saison_id/,2018
SV Linx,/sv-linx/spielplan/verein/657/saison_id/,2018
1.FC Kaiserslautern,/1-fc-kaiserslautern/spielplan/verein/2/saison_id/,2018
SV Drochtersen/Assel,/sv-drochtersen-assel/spielplan/verein/10213/saison_id/,2018
1.CfR Pforzheim,/1-cfr-pforzheim/spielplan/verein/30006/saison_id/,2018
TuS Dassendorf,/tus-dassendorf/spielplan/verein/907/saison_id/,2018
SV 07 Elversberg,/sv-07-elversberg/spielplan/verein/64/saison_id/,2018
SG Dynamo Dresden,/sg-dynamo-dresden/spielplan/verein/129/saison_id/,2018
Eintracht Frankfurt,/eintracht-frankfurt/spielplan/verein/24/saison_id/,2018
FC Erzgebirge Aue,/fc-erzgebirge-aue/spielplan/verein/94/saison_id/,2018
TuS Erndtebrück,/tus-erndtebruck/spielplan/verein/5263/saison_id/,2018
Rot-Weiß Oberhausen,/rot-weiss-oberhausen/spielplan/verein/57/saison_id/,2018
VfB Stuttgart,/vfb-stuttgart/spielplan/verein/79/saison_id/,2018
1.FC Lok Stendal,/1-fc-lok-stendal/spielplan/verein/4043/saison_id/,2018
TSV Steinbach,/tsv-steinbach-haiger/spielplan/verein/39470/saison_id/,2018
TuS Rot-Weiß Koblenz,/tus-rot-weiss-koblenz/spielplan/verein/22327/saison_id/,2018
BFC Dynamo,/bfc-dynamo/spielplan/verein/222/saison_id/,2018
Karlsruher SC,/karlsruher-sc/spielplan/verein/48/saison_id/,2018
FC Viktoria Köln,/fc-viktoria-koln/spielplan/verein/1622/saison_id/,2018
VfL Bochum,/vfl-bochum/spielplan/verein/80/saison_id/,2018
SSV Jahn Regensburg,/ssv-jahn-regensburg/spielplan/verein/109/saison_id/,2018
SSV Jeddeloh II,/ssv-jeddeloh-ii/spielplan/verein/6776/saison_id/,2018
TSV 1860 München,/tsv-1860-munchen/spielplan/verein/72/saison_id/,2018
FC Carl Zeiss Jena,/fc-carl-zeiss-jena/spielplan/verein/113/saison_id/,2018
BSC Hastedt,/bsc-hastedt/spielplan/verein/29638/saison_id/,2018
FC Ingolstadt 04,/fc-ingolstadt-04/spielplan/verein/4795/saison_id/,2018
Eintracht Braunschweig,/eintracht-braunschweig/spielplan/verein/23/saison_id/,2018
FC Energie Cottbus,/fc-energie-cottbus/spielplan/verein/25/saison_id/,2018
SpVgg Greuther Fürth,/spvgg-greuther-furth/spielplan/verein/65/saison_id/,2018
