team,link,season
RB Leipzig,/rasenballsport-leipzig/spielplan/verein/23826/saison_id/,2020
Borussia Dortmund,/borussia-dortmund/spielplan/verein/16/saison_id/,2020
SV Werder Bremen,/sv-werder-bremen/spielplan/verein/86/saison_id/,2020
Holstein Kiel,/holstein-kiel/spielplan/verein/269/saison_id/,2020
Borussia Mönchengladbach,/borussia-monchengladbach/spielplan/verein/18/saison_id/,2020
Rot-Weiss Essen,/rot-weiss-essen/spielplan/verein/56/saison_id/,2020
VfL Wolfsburg,/vfl-wolfsburg/spielplan/verein/82/saison_id/,2020
SSV Jahn Regensburg,/ssv-jahn-regensburg/spielplan/verein/109/saison_id/,2020
Bayer 04 Leverkusen,/bayer-04-leverkusen/spielplan/verein/15/saison_id/,2020
SV Darmstadt 98,/sv-darmstadt-98/spielplan/verein/105/saison_id/,2020
SC Paderborn 07,/sc-paderborn-07/spielplan/verein/127/saison_id/,2020
SpVgg Greuther Fürth,/spvgg-greuther-furth/spielplan/verein/65/saison_id/,2020
FC Schalke 04,/fc-schalke-04/spielplan/verein/33/saison_id/,2020
VfL Bochum,/vfl-bochum/spielplan/verein/80/saison_id/,2020
1.FC Köln,/1-fc-koln/spielplan/verein/3/saison_id/,2020
VfB Stuttgart,/vfb-stuttgart/spielplan/verein/79/saison_id/,2020
VfL Osnabrück,/vfl-osnabruck/spielplan/verein/81/saison_id/,2020
FC Augsburg,/fc-augsburg/spielplan/verein/167/saison_id/,2020
SSV Ulm 1846,/ssv-ulm-1846/spielplan/verein/69/saison_id/,2020
TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/spielplan/verein/533/saison_id/,2020
Eintracht Braunschweig,/eintracht-braunschweig/spielplan/verein/23/saison_id/,2020
SV 07 Elversberg,/sv-07-elversberg/spielplan/verein/64/saison_id/,2020
SG Dynamo Dresden,/sg-dynamo-dresden/spielplan/verein/129/saison_id/,2020
1.FC Union Berlin,/1-fc-union-berlin/spielplan/verein/89/saison_id/,2020
Fortuna Düsseldorf,/fortuna-dusseldorf/spielplan/verein/38/saison_id/,2020
SV Sandhausen,/sv-sandhausen/spielplan/verein/254/saison_id/,2020
Hannover 96,/hannover-96/spielplan/verein/42/saison_id/,2020
SV Wehen Wiesbaden,/sv-wehen-wiesbaden/spielplan/verein/108/saison_id/,2020
SC Freiburg,/sc-freiburg/spielplan/verein/60/saison_id/,2020
1.FSV Mainz 05,/1-fsv-mainz-05/spielplan/verein/39/saison_id/,2020
Eintracht Frankfurt,/eintracht-frankfurt/spielplan/verein/24/saison_id/,2020
FC Bayern München,/fc-bayern-munchen/spielplan/verein/27/saison_id/,2020
TSV Havelse,/tsv-havelse/spielplan/verein/476/saison_id/,2020
Hertha BSC,/hertha-bsc/spielplan/verein/44/saison_id/,2020
SV Todesfelde,/sv-todesfelde/spielplan/verein/7025/saison_id/,2020
VSG Altglienicke,/vsg-altglienicke/spielplan/verein/17847/saison_id/,2020
RSV Meinerzhagen,/rsv-meinerzhagen/spielplan/verein/1931/saison_id/,2020
MTV Eintracht Celle,/mtv-eintracht-celle/spielplan/verein/17835/saison_id/,2020
FC Oberneuland,/fc-oberneuland/spielplan/verein/115/saison_id/,2020
TSV 1860 München,/tsv-1860-munchen/spielplan/verein/72/saison_id/,2020
FV Engers 07,/fv-engers-07/spielplan/verein/2085/saison_id/,2020
FSV Union Fürstenwalde,/fsv-union-furstenwalde/spielplan/verein/5300/saison_id/,2020
1.FC Nürnberg,/1-fc-nurnberg/spielplan/verein/4/saison_id/,2020
FC Erzgebirge Aue,/fc-erzgebirge-aue/spielplan/verein/94/saison_id/,2020
Karlsruher SC,/karlsruher-sc/spielplan/verein/48/saison_id/,2020
FC Ingolstadt 04,/fc-ingolstadt-04/spielplan/verein/4795/saison_id/,2020
FC Carl Zeiss Jena,/fc-carl-zeiss-jena/spielplan/verein/113/saison_id/,2020
Chemnitzer FC,/chemnitzer-fc/spielplan/verein/21/saison_id/,2020
SC Wiedenbrück,/sc-wiedenbruck/spielplan/verein/4955/saison_id/,2020
Eintracht Norderstedt,/eintracht-norderstedt/spielplan/verein/117/saison_id/,2020
1.FC Kaiserslautern,/1-fc-kaiserslautern/spielplan/verein/2/saison_id/,2020
1.FC Rielasingen-Arlen,/1-fc-rielasingen-arlen/spielplan/verein/24718/saison_id/,2020
TSV Steinbach Haiger,/tsv-steinbach-haiger/spielplan/verein/39470/saison_id/,2020
FC Hansa Rostock,/fc-hansa-rostock/spielplan/verein/30/saison_id/,2020
FC St. Pauli,/fc-st-pauli/spielplan/verein/35/saison_id/,2020
1.FC Heidenheim 1846,/1-fc-heidenheim-1846/spielplan/verein/2036/saison_id/,2020
SV Waldhof Mannheim,/sv-waldhof-mannheim/spielplan/verein/85/saison_id/,2020
1.FC Magdeburg,/1-fc-magdeburg/spielplan/verein/187/saison_id/,2020
Arminia Bielefeld,/arminia-bielefeld/spielplan/verein/10/saison_id/,2020
Würzburger Kickers,/wurzburger-kickers/spielplan/verein/1557/saison_id/,2020
Hamburger SV,/hamburger-sv/spielplan/verein/41/saison_id/,2020
MSV Duisburg,/msv-duisburg/spielplan/verein/52/saison_id/,2020
1.FC Düren,/1-fc-duren/spielplan/verein/67453/saison_id/,2020
1.FC Schweinfurt 05,/1-fc-schweinfurt-05/spielplan/verein/103/saison_id/,2020
