team,link,season
FC Bayern München,/fc-bayern-munchen/spielplan/verein/27/saison_id/,2017
Eintracht Frankfurt,/eintracht-frankfurt/spielplan/verein/24/saison_id/,2017
Bayer 04 Leverkusen,/bayer-04-leverkusen/spielplan/verein/15/saison_id/,2017
FC Schalke 04,/fc-schalke-04/spielplan/verein/33/saison_id/,2017
SC Paderborn 07,/sc-paderborn-07/spielplan/verein/127/saison_id/,2017
SV Werder Bremen,/sv-werder-bremen/spielplan/verein/86/saison_id/,2017
1.FSV Mainz 05,/1-fsv-mainz-05/spielplan/verein/39/saison_id/,2017
VfL Wolfsburg,/vfl-wolfsburg/spielplan/verein/82/saison_id/,2017
FC Ingolstadt 04,/fc-ingolstadt-04/spielplan/verein/4795/saison_id/,2017
VfB Stuttgart,/vfb-stuttgart/spielplan/verein/79/saison_id/,2017
1.FC Nürnberg,/1-fc-nurnberg/spielplan/verein/4/saison_id/,2017
1.FC Köln,/1-fc-koln/spielplan/verein/3/saison_id/,2017
Borussia Mönchengladbach,/borussia-monchengladbach/spielplan/verein/18/saison_id/,2017
SC Freiburg,/sc-freiburg/spielplan/verein/60/saison_id/,2017
1.FC Heidenheim 1846,/1-fc-heidenheim-1846/spielplan/verein/2036/saison_id/,2017
Borussia Dortmund,/borussia-dortmund/spielplan/verein/16/saison_id/,2017
Fortuna Düsseldorf,/fortuna-dusseldorf/spielplan/verein/38/saison_id/,2017
VfL Bochum,/vfl-bochum/spielplan/verein/80/saison_id/,2017
SV Wehen Wiesbaden,/sv-wehen-wiesbaden/spielplan/verein/108/saison_id/,2017
1.FC Union Berlin,/1-fc-union-berlin/spielplan/verein/89/saison_id/,2017
SpVgg Greuther Fürth,/spvgg-greuther-furth/spielplan/verein/65/saison_id/,2017
1.FC Magdeburg,/1-fc-magdeburg/spielplan/verein/187/saison_id/,2017
1.FC Schweinfurt 05,/1-fc-schweinfurt-05/spielplan/verein/103/saison_id/,2017
Holstein Kiel,/holstein-kiel/spielplan/verein/269/saison_id/,2017
1.FC Kaiserslautern,/1-fc-kaiserslautern/spielplan/verein/2/saison_id/,2017
VfL Osnabrück,/vfl-osnabruck/spielplan/verein/81/saison_id/,2017
Hertha BSC,/hertha-bsc/spielplan/verein/44/saison_id/,2017
Hannover 96,/hannover-96/spielplan/verein/42/saison_id/,2017
SSV Jahn Regensburg,/ssv-jahn-regensburg/spielplan/verein/109/saison_id/,2017
SG Dynamo Dresden,/sg-dynamo-dresden/spielplan/verein/129/saison_id/,2017
RB Leipzig,/rasenballsport-leipzig/spielplan/verein/23826/saison_id/,2017
TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/spielplan/verein/533/saison_id/,2017
TuS Koblenz,/tus-koblenz/spielplan/verein/996/saison_id/,2017
Eintracht Braunschweig,/eintracht-braunschweig/spielplan/verein/23/saison_id/,2017
Rot-Weiss Essen,/rot-weiss-essen/spielplan/verein/56/saison_id/,2017
Karlsruher SC,/karlsruher-sc/spielplan/verein/48/saison_id/,2017
Germania Halberstadt,/germania-halberstadt/spielplan/verein/364/saison_id/,2017
Chemnitzer FC,/chemnitzer-fc/spielplan/verein/21/saison_id/,2017
SpVgg Unterhaching,/spvgg-unterhaching/spielplan/verein/66/saison_id/,2017
Leher TS Bremerhaven,/leher-ts-bremerhaven/spielplan/verein/9470/saison_id/,2017
TuS Erndtebrück,/tus-erndtebruck/spielplan/verein/5263/saison_id/,2017
1.FC Rielasingen-Arlen,/1-fc-rielasingen-arlen/spielplan/verein/24718/saison_id/,2017
SV Eichede,/sv-eichede/spielplan/verein/4882/saison_id/,2017
Lüneburger SK Hansa,/luneburger-sk-hansa/spielplan/verein/18324/saison_id/,2017
Rot-Weiß Erfurt,/rot-weiss-erfurt/spielplan/verein/111/saison_id/,2017
Arminia Bielefeld,/arminia-bielefeld/spielplan/verein/10/saison_id/,2017
SV Darmstadt 98,/sv-darmstadt-98/spielplan/verein/105/saison_id/,2017
Würzburger Kickers,/wurzburger-kickers/spielplan/verein/1557/saison_id/,2017
Bonner SC,/bonner-sc/spielplan/verein/215/saison_id/,2017
Eintracht Norderstedt,/eintracht-norderstedt/spielplan/verein/117/saison_id/,2017
FC Nöttingen,/fc-nottingen/spielplan/verein/1203/saison_id/,2017
SV Morlautern,/sv-morlautern/spielplan/verein/26837/saison_id/,2017
TSV 1860 München,/tsv-1860-munchen/spielplan/verein/72/saison_id/,2017
Sportfreunde Dorfmerkingen,/sportfreunde-dorfmerkingen/spielplan/verein/1410/saison_id/,2017
Hamburger SV,/hamburger-sv/spielplan/verein/41/saison_id/,2017
1.FC Saarbrücken,/1-fc-saarbrucken/spielplan/verein/1/saison_id/,2017
SV Sandhausen,/sv-sandhausen/spielplan/verein/254/saison_id/,2017
FC Augsburg,/fc-augsburg/spielplan/verein/167/saison_id/,2017
FC Erzgebirge Aue,/fc-erzgebirge-aue/spielplan/verein/94/saison_id/,2017
FC Energie Cottbus,/fc-energie-cottbus/spielplan/verein/25/saison_id/,2017
MSV Duisburg,/msv-duisburg/spielplan/verein/52/saison_id/,2017
FC St. Pauli,/fc-st-pauli/spielplan/verein/35/saison_id/,2017
BFC Dynamo,/bfc-dynamo/spielplan/verein/222/saison_id/,2017
FC Hansa Rostock,/fc-hansa-rostock/spielplan/verein/30/saison_id/,2017
