team,stadium_name,total_capacity,lawn_heating,field_length,field_width,link
Borussia Dortmund,SIGNAL IDUNA PARK,813650.0,True,105.0,68.0,/borussia-dortmund/spielplan/verein/16/saison_id/
VfL Wolfsburg,Volkswagen Arena,289170.0,True,105.0,68.0,/vfl-wolfsburg/spielplan/verein/82/saison_id/
FC Bayern München,Allianz Arena,750000.0,True,105.0,68.0,/fc-bayern-munchen/spielplan/verein/27/saison_id/
Arminia Bielefeld,SchücoArena,273320.0,True,105.0,68.0,/arminia-bielefeld/spielplan/verein/10/saison_id/
SC Freiburg,Europa-Park Stadion,347000.0,True,105.0,68.0,/sc-freiburg/spielplan/verein/60/saison_id/
TSG 1899 Hoffenheim,PreZero Arena,301500.0,True,105.0,68.0,/tsg-1899-hoffenheim/spielplan/verein/533/saison_id/
Borussia Mönchengladbach,Stadion im Borussia-Park,540420.0,True,105.0,68.0,/borussia-monchengladbach/spielplan/verein/18/saison_id/
Bayer 04 Leverkusen,BayArena,302100.0,True,105.0,68.0,/bayer-04-leverkusen/spielplan/verein/15/saison_id/
VfR Aalen,CENTUS Arena,145000.0,True,105.14285714285714,67.49350649350649,/vfr-aalen/spielplan/verein/83/saison_id/
1.FC Kaiserslautern,Fritz-Walter-Stadion,493500.0,True,105.0,68.0,/1-fc-kaiserslautern/spielplan/verein/2/saison_id/
SG Dynamo Dresden,Rudolf-Harbig-Stadion,3.2123e+16,True,105.0,68.0,/sg-dynamo-dresden/spielplan/verein/129/saison_id/
1.FC Köln,RheinEnergieSTADION,500000.0,True,105.0,68.0,/1-fc-koln/spielplan/verein/3/saison_id/
SV Werder Bremen,Weserstadion,421000.0,True,105.0,68.0,/sv-werder-bremen/spielplan/verein/86/saison_id/
RB Leipzig,Red Bull Arena,470690.0,True,105.0,68.0,/rasenballsport-leipzig/spielplan/verein/23826/saison_id/
Eintracht Braunschweig,EINTRACHT-Stadion,233250.0,True,105.0,68.0,/eintracht-braunschweig/spielplan/verein/23/saison_id/
Kickers Offenbach,Stadion am Bieberer Berg,205000.0,True,105.14285714285714,67.49350649350649,/kickers-offenbach/spielplan/verein/107/saison_id/
