player_name,match_link,home_team
Damian Paszlinski,/spielbericht/index/spielbericht/2479780,False
Marcel Trojandt,/spielbericht/index/spielbericht/2479780,False
Dustin Scheibe,/spielbericht/index/spielbericht/2479780,False
Armin Kilz,/spielbericht/index/spielbericht/2479780,False
Sebastian Zielinsky,/spielbericht/index/spielbericht/2479780,False
Andy Wendschuch,/spielbericht/index/spielbericht/2479780,False
Alexander Langner,/spielbericht/index/spielbericht/2479780,False
Gianluca Marzullo,/spielbericht/index/spielbericht/2479780,False
Steve Rolleder,/spielbericht/index/spielbericht/2479780,False
Julien Latendresse-Levesque,/spielbericht/index/spielbericht/2479791,True
Markus Krug,/spielbericht/index/spielbericht/2479791,True
Damian Paszlinski,/spielbericht/index/spielbericht/2479791,True
Marcel Trojandt,/spielbericht/index/spielbericht/2479791,True
Dustin Scheibe,/spielbericht/index/spielbericht/2479791,True
Armin Kilz,/spielbericht/index/spielbericht/2479791,True
Sebastian Zielinsky,/spielbericht/index/spielbericht/2479791,True
Andy Wendschuch,/spielbericht/index/spielbericht/2479791,True
Ramón Hofmann,/spielbericht/index/spielbericht/2479791,True
Gianluca Marzullo,/spielbericht/index/spielbericht/2479791,True
Steve Rolleder,/spielbericht/index/spielbericht/2479791,True
Brian Gheorghiu,/spielbericht/index/spielbericht/2479791,False
Johannes Carl,/spielbericht/index/spielbericht/2479791,False
Benjamin Fonfara,/spielbericht/index/spielbericht/2479791,False
Markus Güttich,/spielbericht/index/spielbericht/2479791,False
Christian Kretzer,/spielbericht/index/spielbericht/2479791,False
Dimo Raffel,/spielbericht/index/spielbericht/2479791,False
Markus Hacker,/spielbericht/index/spielbericht/2479791,False
Florian Schmolke,/spielbericht/index/spielbericht/2479791,False
Danny Reuther,/spielbericht/index/spielbericht/2479791,False
Maximilian Enkelmann,/spielbericht/index/spielbericht/2479791,False
Benjamin Bahner,/spielbericht/index/spielbericht/2479791,False
Julien Latendresse-Levesque,/spielbericht/index/spielbericht/2479802,True
Markus Krug,/spielbericht/index/spielbericht/2479802,True
Damian Paszlinski,/spielbericht/index/spielbericht/2479802,True
