name,position,age,value,team,season
Jan Joe Kramer,GK,24,-,TuS Rot-Weiß Koblenz,2014
Luca Petrocelli,GK,20,-,TuS Rot-Weiß Koblenz,2014
Marko Topic,GK,22,-,TuS Rot-Weiß Koblenz,2014
Marvin Rixen,GK,19,-,TuS Rot-Weiß Koblenz,2014
Erkan Eroglu,CB,28,-,TuS Rot-Weiß Koblenz,2014
Jonas Lauer,CB,26,-,TuS Rot-Weiß Koblenz,2014
Alexander Borchert,CB,29,-,TuS Rot-Weiß Koblenz,2014
Jan Bührmann,CB,30,-,TuS Rot-Weiß Koblenz,2014
Pascal Romes,CB,22,-,TuS Rot-Weiß Koblenz,2014
Claudio Jozsa,RB,27,-,TuS Rot-Weiß Koblenz,2014
Yuri Pineker,CDM,28,-,TuS Rot-Weiß Koblenz,2014
Almer Smajlagic,Midfielder,27,-,TuS Rot-Weiß Koblenz,2014
Nizar Farik,Midfielder,26,-,TuS Rot-Weiß Koblenz,2014
Cristian Cancelo Martinez,Midfielder,23,-,TuS Rot-Weiß Koblenz,2014
Ersin Pehlivan,Midfielder,32,-,TuS Rot-Weiß Koblenz,2014
Ar. Dervishay,CDM,40,-,TuS Rot-Weiß Koblenz,2014
Burhan Shabani,Midfielder,22,-,TuS Rot-Weiß Koblenz,2014
Eugen Lorenz,Midfielder,27,-,TuS Rot-Weiß Koblenz,2014
Derrick Miles,CDM,25,-,TuS Rot-Weiß Koblenz,2014
Dardan Galjaj,Midfielder,22,-,TuS Rot-Weiß Koblenz,2014
David Buschbaum,CDM,29,-,TuS Rot-Weiß Koblenz,2014
Michael Steiner,Midfielder,28,-,TuS Rot-Weiß Koblenz,2014
Maximilian Lauer,Midfielder,22,-,TuS Rot-Weiß Koblenz,2014
Paul Lauer,CM,30,-,TuS Rot-Weiß Koblenz,2014
Waldemar Kling,CM,28,-,TuS Rot-Weiß Koblenz,2014
Mustafa Köse,CAM,19,-,TuS Rot-Weiß Koblenz,2014
Aykut Acar,LW,22,-,TuS Rot-Weiß Koblenz,2014
Gökan Bigün,ST,33,-,TuS Rot-Weiß Koblenz,2014
Marcel Berg,ST,27,-,TuS Rot-Weiß Koblenz,2014
Dzenis Ramovic,ST,25,-,TuS Rot-Weiß Koblenz,2014
Fabio Dahlem,ST,19,-,TuS Rot-Weiß Koblenz,2014
Huseyin Karalalek,ST,28,-,TuS Rot-Weiß Koblenz,2014
Jan Joe Kramer,GK,25,-,TuS Rot-Weiß Koblenz,2015
Tobias Oost,GK,25,-,TuS Rot-Weiß Koblenz,2015
Dorian Bajrami,GK,23,-,TuS Rot-Weiß Koblenz,2015
Simon Wallura,GK,18,-,TuS Rot-Weiß Koblenz,2015
Carsten Gerharz,GK,25,-,TuS Rot-Weiß Koblenz,2015
Dominik Schmidt,CB,24,-,TuS Rot-Weiß Koblenz,2015
Jonas Lauer,CB,27,-,TuS Rot-Weiß Koblenz,2015
Thilo Kraemer,CB,22,-,TuS Rot-Weiß Koblenz,2015
Alexander Borchert,CB,30,-,TuS Rot-Weiß Koblenz,2015
Jan Bührmann,CB,31,-,TuS Rot-Weiß Koblenz,2015
Christian Meinert,LB,24,-,TuS Rot-Weiß Koblenz,2015
Emre Altin,CDM,21,-,TuS Rot-Weiß Koblenz,2015
Yuri Pineker,CDM,29,-,TuS Rot-Weiß Koblenz,2015
Burhan Shabani,Midfielder,23,-,TuS Rot-Weiß Koblenz,2015
Silvio Golz,Midfielder,20,-,TuS Rot-Weiß Koblenz,2015
Cristian Cancelo Martinez,Midfielder,24,-,TuS Rot-Weiß Koblenz,2015
Derrick Miles,CDM,26,-,TuS Rot-Weiß Koblenz,2015
Lucas Herberz,Midfielder,22,-,TuS Rot-Weiß Koblenz,2015
Dardan Galjaj,Midfielder,23,-,TuS Rot-Weiß Koblenz,2015
Damir Mrkalj,CM,25,-,TuS Rot-Weiß Koblenz,2015
Waldemar Kling,CM,29,-,TuS Rot-Weiß Koblenz,2015
Emre Kaya,CM,22,-,TuS Rot-Weiß Koblenz,2015
Mustafa Köse,CAM,20,-,TuS Rot-Weiß Koblenz,2015
Kristijan Grzobic,LW,22,-,TuS Rot-Weiß Koblenz,2015
Hendrik Hillen,RW,22,-,TuS Rot-Weiß Koblenz,2015
Gökan Bigün,ST,34,-,TuS Rot-Weiß Koblenz,2015
Marcel Berg,ST,28,-,TuS Rot-Weiß Koblenz,2015
Fabio Dahlem,ST,20,-,TuS Rot-Weiß Koblenz,2015
Huseyin Karalalek,ST,29,-,TuS Rot-Weiß Koblenz,2015
Tobias Oost,GK,26,-,TuS Rot-Weiß Koblenz,2016
Carsten Gerharz,GK,26,-,TuS Rot-Weiß Koblenz,2016
Simon Wallura,GK,19,-,TuS Rot-Weiß Koblenz,2016
Luca Wolf,CB,22,-,TuS Rot-Weiß Koblenz,2016
Marcus Fritsch,CB,22,-,TuS Rot-Weiß Koblenz,2016
Dominik Schmidt,CB,25,-,TuS Rot-Weiß Koblenz,2016
Jonas Lauer,CB,28,-,TuS Rot-Weiß Koblenz,2016
Thilo Kraemer,CB,23,-,TuS Rot-Weiß Koblenz,2016
Alexis Weidenbach,CB,20,-,TuS Rot-Weiß Koblenz,2016
Christian Meinert,LB,25,-,TuS Rot-Weiß Koblenz,2016
Giuliano Masala,RB,23,-,TuS Rot-Weiß Koblenz,2016
Marvin Sauerborn,CDM,24,-,TuS Rot-Weiß Koblenz,2016
Emre Altin,CDM,22,-,TuS Rot-Weiß Koblenz,2016
Marius Haas,Midfielder,-,-,TuS Rot-Weiß Koblenz,2016
Derrick Miles,CDM,27,-,TuS Rot-Weiß Koblenz,2016
Ozan Altin,CDM,20,-,TuS Rot-Weiß Koblenz,2016
Jan Henrich,CDM,21,-,TuS Rot-Weiß Koblenz,2016
Waldemar Kling,CM,30,-,TuS Rot-Weiß Koblenz,2016
Emre Kaya,CM,23,-,TuS Rot-Weiß Koblenz,2016
Sebastian Knopp,CAM,24,-,TuS Rot-Weiß Koblenz,2016
Kristijan Grzobic,LW,23,-,TuS Rot-Weiß Koblenz,2016
Hendrik Hillen,RW,23,-,TuS Rot-Weiß Koblenz,2016
Ismayil Barut,ST,26,-,TuS Rot-Weiß Koblenz,2016
Christian Luitz,ST,22,-,TuS Rot-Weiß Koblenz,2016
Marcel Berg,ST,29,-,TuS Rot-Weiß Koblenz,2016
Gökan Bigün,ST,35,-,TuS Rot-Weiß Koblenz,2016
Hervé Loulouga,ST,33,-,TuS Rot-Weiß Koblenz,2016
Huseyin Karalalek,ST,30,-,TuS Rot-Weiß Koblenz,2016
Luca Beck,GK,24,-,TuS Rot-Weiß Koblenz,2017
Tobias Oost,GK,27,-,TuS Rot-Weiß Koblenz,2017
Simon Wallura,GK,20,-,TuS Rot-Weiß Koblenz,2017
Christian Bersch,GK,24,-,TuS Rot-Weiß Koblenz,2017
Marcus Fritsch,CB,23,-,TuS Rot-Weiß Koblenz,2017
Dominik Schmidt,CB,26,-,TuS Rot-Weiß Koblenz,2017
Thilo Kraemer,CB,24,-,TuS Rot-Weiß Koblenz,2017
Alexis Weidenbach,CB,21,-,TuS Rot-Weiß Koblenz,2017
Marvin Weber,LB,22,-,TuS Rot-Weiß Koblenz,2017
Christian Meinert,LB,26,-,TuS Rot-Weiß Koblenz,2017
Giuliano Masala,RB,24,-,TuS Rot-Weiß Koblenz,2017
Marvin Sauerborn,CDM,25,-,TuS Rot-Weiß Koblenz,2017
Emre Altin,CDM,23,-,TuS Rot-Weiß Koblenz,2017
Berkan Yavuz,Midfielder,19,-,TuS Rot-Weiß Koblenz,2017
Sebastian Fetz,Midfielder,19,-,TuS Rot-Weiß Koblenz,2017
Julian Holzem,Midfielder,18,-,TuS Rot-Weiß Koblenz,2017
Derrick Miles,CDM,28,-,TuS Rot-Weiß Koblenz,2017
